state (Emission order)	Genome %	regions_enh_E057.bed.gz	regions_enh_E058.bed.gz	regions_prom_E057.bed.gz	regions_prom_E058.bed.gz
1	0.45105	3.53540	3.41474	12.93095	7.80583
2	5.74135	0.21408	0.16496	0.14554	0.09857
3	85.21136	0.16621	0.14932	0.02290	0.02527
4	0.78945	0.54738	0.60309	0.04176	0.04664
5	0.19308	12.05888	12.83884	1.08792	1.00815
6	3.54745	11.22758	11.27725	0.85980	0.85661
7	1.10277	18.45974	18.91166	1.40308	1.36571
8	0.83599	3.46703	3.79156	0.41086	0.45309
9	0.21936	35.46851	36.67145	2.49620	2.58243
10	0.21207	30.83773	32.32029	0.98484	0.98783
11	0.41195	1.38415	1.40813	42.69382	43.88452
12	0.26875	3.04410	2.92898	47.31118	48.73013
13	0.59740	0.15724	0.11685	91.29842	93.72142
14	0.41796	3.26826	3.51148	1.42458	1.58978
Base	100	1.57341	1.64347	0.85607	0.82688
