state (Emission order)	Genome %	CpG.hg19.bed.gz	Exons.Gencodev10.hg19.bed.gz	Genes.Gencodev10.hg19.bed.gz	Introns.Gencodev10.hg19.bed.gz	TES.Gencodev10.hg19.bed.gz	TES_2kbp.Gencodev10.hg19.bed.gz	TSS.Gencodev10.hg19.bed.gz	TSS_2kbp.Gencodev10.hg19.bed.gz	ZNF_genes.bed.gz
1	0.37465	50.01709	5.60674	1.24646	0.91353	3.33769	2.43573	12.97219	5.83233	0.69284
2	4.34846	1.93221	1.45931	1.05041	1.02097	1.28214	1.30548	1.18722	1.63725	0.33254
3	83.85198	0.18232	0.69909	0.92910	0.94623	0.77242	0.82660	0.44957	0.73687	0.97174
4	3.79253	0.82157	4.15742	1.76643	1.58655	3.82367	3.19594	1.46899	2.04907	1.90088
5	0.58677	0.91630	3.73292	1.79402	1.64911	3.82853	2.73920	1.97283	2.29209	0.77185
6	2.73844	0.18743	1.12079	1.33059	1.34968	1.18891	1.17043	1.00772	1.54548	0.85147
7	0.78465	0.14131	1.05303	1.24450	1.26187	1.07091	1.13473	0.90550	1.38768	0.78170
8	0.44847	0.21204	0.98103	1.20876	1.22896	1.03739	1.19436	0.71382	1.31778	0.68642
9	0.48057	0.43316	1.31997	1.26508	1.26363	1.27039	1.26522	1.59228	1.40095	0.61986
10	0.51758	0.17514	0.87200	1.12830	1.15045	0.88788	0.90583	1.37926	1.02118	0.56994
11	0.58138	11.43745	3.40248	1.46892	1.32328	2.91189	2.28292	7.52303	7.31198	3.64632
12	0.37722	13.61734	4.05507	1.46808	1.27207	3.43072	2.48060	9.00216	6.25848	1.85691
13	0.53870	75.34642	9.40394	1.64009	1.04558	3.82997	2.81204	58.93574	9.73304	3.69387
14	0.57858	0.90571	1.69617	1.14285	1.10242	1.68700	1.52957	1.32023	1.42098	0.85424
Base	100	0.68328	3.50523	49.34249	45.71419	0.00340	10.22906	0.00478	9.57817	0.68770
