state (Emission order)	Genome %	CpG.hg19.bed.gz	Exons.Gencodev10.hg19.bed.gz	Genes.Gencodev10.hg19.bed.gz	Introns.Gencodev10.hg19.bed.gz	TES.Gencodev10.hg19.bed.gz	TES_2kbp.Gencodev10.hg19.bed.gz	TSS.Gencodev10.hg19.bed.gz	TSS_2kbp.Gencodev10.hg19.bed.gz	ZNF_genes.bed.gz
1	0.36601	46.93658	5.18328	1.27246	0.97389	3.02739	2.32255	11.16573	5.45133	0.55530
2	3.40994	1.66478	1.51001	1.07117	1.03928	1.31955	1.34988	1.16500	1.66789	0.26220
3	86.86150	0.21207	0.80207	0.95520	0.96658	0.85982	0.89951	0.48080	0.78092	0.99608
4	0.69144	0.98658	4.92241	1.80269	1.56686	4.67298	3.59739	1.69080	2.24687	0.91982
5	0.18484	1.26336	4.75767	1.85455	1.63559	4.97741	3.31634	2.14842	2.29458	0.50028
6	4.03126	0.51535	1.45627	1.36027	1.35587	1.50103	1.35455	1.26305	1.69568	0.89223
7	1.21152	0.33746	1.33605	1.23647	1.23148	1.42479	1.30281	1.13946	1.55775	0.74440
8	0.60651	0.88020	1.23935	1.18681	1.18536	1.19760	1.37525	1.09796	1.53828	1.15245
9	0.22936	1.01389	1.59019	1.24115	1.21664	1.46542	1.44714	1.96403	1.59792	0.69630
10	0.42862	0.86752	1.43576	1.19211	1.17572	1.39116	1.20003	1.99644	1.34889	0.62400
11	0.60215	20.50613	4.44743	1.47881	1.25354	3.33971	2.43063	12.29519	7.30007	5.29092
12	0.42271	13.67336	4.30555	1.50649	1.29433	3.69719	2.53001	9.07035	6.37133	1.85897
13	0.40966	86.02204	10.28785	1.62217	0.95824	3.61333	2.79616	68.55516	9.73661	3.85800
14	0.54449	1.49817	1.96154	1.16305	1.10376	1.95827	1.68214	1.55172	1.52281	0.87448
Base	100	0.68328	3.50523	49.34249	45.71419	0.00340	10.22906	0.00478	9.57817	0.68770
