state (Emission order)	Genome %	regions_enh_E057.bed.gz	regions_enh_E058.bed.gz	regions_prom_E057.bed.gz	regions_prom_E058.bed.gz
1	0.37465	3.48463	3.24750	13.83740	8.06660
2	4.34846	0.26853	0.25567	0.15734	0.09363
3	83.85198	0.10447	0.10751	0.01675	0.01801
4	3.79253	0.42043	0.48865	0.03173	0.03915
5	0.58677	14.08150	14.38179	0.94078	1.00389
6	2.73844	10.36535	9.96093	0.54591	0.55972
7	0.78465	15.90191	15.64848	0.63748	0.62308
8	0.44847	2.79773	2.95577	0.18797	0.20098
9	0.48057	34.79609	35.58572	1.94878	1.94791
10	0.51758	29.04762	29.51426	0.47447	0.51310
11	0.58138	2.82610	2.77012	33.50371	34.20753
12	0.37722	4.70627	4.71903	47.55679	48.98673
13	0.53870	0.15634	0.12783	94.39740	96.67252
14	0.57858	2.65025	2.84504	0.90394	0.97737
Base	100	1.57341	1.64347	0.85607	0.82688
